Type,Intervals,ClockTime
1,25,3307.000000
2,25,3875.000000
0,26,643.000000
1,26,3786.000000
2,26,4334.000000
0,27,800.000000
1,27,4068.000000
2,27,4630.000000
0,28,625.000000
1,28,3991.000000
2,28,4262.000000
0,29,630.000000
1,29,4400.000000
2,29,4713.000000
0,30,601.000000
1,30,4737.000000
2,30,5136.000000
0,31,608.000000
1,31,5152.000000
2,31,5978.000000
0,32,1391.000000
1,32,8768.000000
2,32,6395.000000
0,33,627.000000
1,33,6027.000000
2,33,6423.000000
0,34,659.000000
1,34,6425.000000
2,34,6998.000000
0,35,713.000000
1,35,6964.000000
2,35,7593.000000
0,36,682.000000
1,36,7651.000000
2,36,8285.000000
0,37,722.000000
1,37,8195.000000
2,37,9438.000000
0,38,727.000000
1,38,8803.000000
2,38,9473.000000
0,39,788.000000
1,39,9574.000000
2,39,10165.000000
0,40,785.000000
1,40,10259.000000
2,40,10734.000000
0,41,769.000000
1,41,10984.000000
2,41,11317.000000
0,42,790.000000
1,42,11754.000000
2,42,13616.000000
0,43,826.000000
1,43,12479.000000
2,43,12825.000000
0,44,835.000000
1,44,13496.000000
2,44,17286.000000
0,45,1973.000000
1,45,23245.000000
2,45,19379.000000
0,46,895.000000
1,46,16359.000000
2,46,17974.000000
0,47,1384.000000
1,47,16863.000000
2,47,18575.000000
0,48,1414.000000
1,48,18002.000000
2,48,19683.000000
0,49,1479.000000
1,49,19199.000000
2,49,20714.000000
0,50,1524.000000
1,50,20454.000000
2,50,23550.000000
0,51,1060.000000
1,51,20886.000000
2,51,21472.000000
0,52,1059.000000
1,52,21697.000000
2,52,29633.000000
0,53,1839.000000
1,53,32936.000000
2,53,28916.000000
0,54,1531.000000
1,54,24979.000000
2,54,26382.000000
0,55,1180.000000
1,55,25323.000000
2,55,26147.000000
0,56,1061.000000
1,56,27821.000000
2,56,29246.000000
0,57,1106.000000
1,57,28346.000000
2,57,28768.000000
0,58,1152.000000
1,58,29852.000000
2,58,34629.000000
0,59,1567.000000
1,59,43462.000000
2,59,31920.000000
0,60,1242.000000
1,60,33312.000000
2,60,34216.000000
0,61,1219.000000
1,61,34716.000000
