Type,Intervals,ClockTime
2,432,636.000000
0,433,3057.000000
1,433,634.000000
2,433,613.000000
0,434,3318.000000
1,434,1069.000000
2,434,1093.000000
0,435,3249.000000
1,435,686.000000
2,435,683.000000
0,436,3113.000000
1,436,664.000000
2,436,630.000000
0,437,3087.000000
1,437,654.000000
2,437,632.000000
0,438,3140.000000
1,438,684.000000
2,438,639.000000
0,439,3140.000000
1,439,653.000000
2,439,644.000000
0,440,3170.000000
1,440,659.000000
2,440,634.000000
0,441,3143.000000
1,441,652.000000
2,441,639.000000
0,442,3157.000000
1,442,652.000000
2,442,640.000000
0,443,3175.000000
1,443,681.000000
2,443,651.000000
0,444,3168.000000
1,444,680.000000
2,444,644.000000
0,445,3191.000000
1,445,661.000000
2,445,643.000000
0,446,3191.000000
1,446,658.000000
2,446,644.000000
0,447,3222.000000
1,447,665.000000
2,447,649.000000
0,448,3239.000000
1,448,664.000000
2,448,651.000000
0,449,3242.000000
1,449,666.000000
2,449,649.000000
0,450,3252.000000
1,450,667.000000
2,450,676.000000
0,451,3252.000000
1,451,694.000000
2,451,655.000000
0,452,3292.000000
1,452,669.000000
2,452,651.000000
0,453,3300.000000
1,453,668.000000
2,453,653.000000
0,454,3297.000000
1,454,662.000000
2,454,655.000000
0,455,3345.000000
1,455,674.000000
2,455,653.000000
0,456,3340.000000
1,456,672.000000
2,456,663.000000
0,457,3317.000000
1,457,739.000000
2,457,655.000000
0,458,3388.000000
1,458,673.000000
2,458,655.000000
0,459,3378.000000
1,459,699.000000
2,459,657.000000
0,460,3397.000000
1,460,678.000000
2,460,658.000000
0,461,3389.000000
1,461,716.000000
2,461,756.000000
0,462,3388.000000
1,462,682.000000
2,462,830.000000
0,463,3485.000000
1,463,678.000000
2,463,660.000000
0,464,3401.000000
1,464,679.000000
2,464,666.000000
0,465,3468.000000
1,465,682.000000
2,465,663.000000
0,466,3435.000000
1,466,680.000000
2,466,664.000000
0,467,3440.000000
1,467,693.000000
2,467,666.000000
0,468,3447.000000
1,468,684.000000
2,468,663.000000
0,469,3463.000000
1,469,686.000000
2,469,668.000000
0,470,3467.000000
1,470,689.000000
2,470,674.000000
0,471,3526.000000
1,471,688.000000
2,471,684.000000
0,472,3484.000000
1,472,697.000000
2,472,670.000000
0,473,3512.000000
1,473,689.000000
2,473,675.000000
0,474,3538.000000
1,474,719.000000
2,474,676.000000
0,475,3520.000000
1,475,714.000000
2,475,667.000000
0,476,4066.000000
1,476,1136.000000
2,476,1125.000000
0,477,3950.000000
1,477,702.000000
